/out X,/out Y,/in X,/in Y
4.10842693092415e-07,1.099255970608987,4.10842693092415e-07,1.1
4.30842693092415e-07,1.09925597060944,4.30842693092415e-07,1.1
4.508426930924151e-07,1.099255970609492,4.508426930924151e-07,1.1
4.708426930924151e-07,1.099255970609451,4.708426930924151e-07,1.1
4.908426930924151e-07,1.099255970609413,4.908426930924151e-07,1.1
5.100099999999999e-07,1.099255970609395,5.100099999999999e-07,1.1
5.10012008193196e-07,1.098661459468147,5.10012008193196e-07,1.079918068039825
5.100134999754897e-07,1.098082368893086,5.100134999754897e-07,1.06500024510284
5.100158785409403e-07,1.096858934768865,5.100158785409403e-07,1.041214590596258
5.100170913543779e-07,1.09610522833062,5.100170913543779e-07,1.029086456220674
5.100182577674107e-07,1.095308876255691,5.100182577674107e-07,1.017422325892201
5.100191288837054e-07,1.09467317702297,5.100191288837054e-07,1.008711162945779
5.100199999999999e-07,1.094005929121308,5.100199999999999e-07,1
5.100201115433251e-07,1.093931262630925,5.100201115433251e-07,1
5.100202309427024e-07,1.093849406821484,5.100202309427024e-07,1
5.100203973620102e-07,1.093737603712592,5.100203973620102e-07,1
5.100206663960522e-07,1.093563460822696,5.100206663960522e-07,1
5.1002110429201e-07,1.093294697435096,5.1002110429201e-07,1
5.100216054155507e-07,1.093006167684311,5.100216054155507e-07,1
5.100221722980562e-07,1.092700934278732,5.100221722980562e-07,1
5.100228344553632e-07,1.092369174101469,5.100228344553632e-07,1
5.100236079817665e-07,1.092010940372288,5.100236079817665e-07,1
5.100245023722341e-07,1.091630405160512,5.100245023722341e-07,1
5.100255127556434e-07,1.091237101463739,5.100255127556434e-07,1
5.100266348093284e-07,1.090838260339801,5.100266348093284e-07,1
5.100278764589937e-07,1.090435566612324,5.100278764589937e-07,1
5.100292578734753e-07,1.090027207319215,5.100292578734753e-07,1
5.100308097533342e-07,1.089609906525578,5.100308097533342e-07,1
5.100325730499019e-07,1.089180024497626,5.100325730499019e-07,1
5.100346013364658e-07,1.0887338591467,5.100346013364658e-07,1
5.100369671359533e-07,1.0882673894153,5.100369671359533e-07,1
5.100397737039967e-07,1.087775799546954,5.100397737039967e-07,1
5.10043095100099e-07,1.087264690233618,5.10043095100099e-07,1
5.10046876790711e-07,1.086758752863697,5.10046876790711e-07,1
5.100512046130033e-07,1.086260602103982,5.100512046130033e-07,1
5.100561746013989e-07,1.085775336106179,5.100561746013989e-07,1
