/out X,/out Y,/in X,/in Y
1.017020056618823e-06,1.081067359478323,1.017020056618823e-06,1.1
1.01766050607863e-06,1.085358462324798,1.01766050607863e-06,1.1
1.018424801172471e-06,1.08924226914773,1.018424801172471e-06,1.1
1.019141006453711e-06,1.091911216431793,1.019141006453711e-06,1.1
1.019849904324828e-06,1.093854627814123,1.019849904324828e-06,1.1
1.020586687114148e-06,1.095335792006193,1.020586687114148e-06,1.1
1.021352299893103e-06,1.096456040538373,1.021352299893103e-06,1.1
1.022166809117921e-06,1.097315389321579,1.022166809117921e-06,1.1
1.023065724560553e-06,1.097985969330272,1.023065724560553e-06,1.1
1.024084740660192e-06,1.098504493101832,1.024084740660192e-06,1.1
1.025255046968355e-06,1.098888463775936,1.025255046968355e-06,1.1
1.026621330822238e-06,1.099153482136429,1.026621330822238e-06,1.1
1.028236318414364e-06,1.099313626336151,1.028236318414364e-06,1.1
1.03016852042346e-06,1.099386222988195,1.03016852042346e-06,1.1
1.032522393804428e-06,1.099393027996564,1.032522393804428e-06,1.1
1.035469101799436e-06,1.099358225282932,1.035469101799436e-06,1.1
1.039101466626394e-06,1.099307918114657,1.039101466626394e-06,1.1
1.043559942000335e-06,1.099263160244192,1.043559942000335e-06,1.1
1.049227980000908e-06,1.099233237230554,1.049227980000908e-06,1.1
1.056821591352154e-06,1.09921865176618,1.056821591352154e-06,1.1
1.06689950034337e-06,1.099215063173764,1.06689950034337e-06,1.1
1.080020338161258e-06,1.099215819618592,1.080020338161258e-06,1.1
1.099264148982282e-06,1.099216871133514,1.099264148982282e-06,1.1
1.119264148982282e-06,1.099217189688442,1.119264148982282e-06,1.1
1.139264148982282e-06,1.099217240417017,1.139264148982282e-06,1.1
1.159264148982282e-06,1.09921725161867,1.159264148982282e-06,1.1
1.179264148982282e-06,1.099217260878615,1.179264148982282e-06,1.1
1.199264148982282e-06,1.099217266459245,1.199264148982282e-06,1.1
1.219264148982282e-06,1.099217268150062,1.219264148982282e-06,1.1
1.239264148982282e-06,1.099217268004693,1.239264148982282e-06,1.1
1.259264148982282e-06,1.099217267523622,1.259264148982282e-06,1.1
1.279264148982282e-06,1.099217267215775,1.279264148982282e-06,1.1
1.299264148982282e-06,1.099217267095524,1.299264148982282e-06,1.1
1.319264148982282e-06,1.099217267069745,1.319264148982282e-06,1.1
1.339264148982283e-06,1.099217267073472,1.339264148982283e-06,1.1
1.359264148982283e-06,1.099217267080372,1.359264148982283e-06,1.1
1.379264148982283e-06,1.099217267084347,1.379264148982283e-06,1.1
1.399264148982283e-06,1.099217267085849,1.399264148982283e-06,1.1
1.419264148982283e-06,1.099217267086192,1.419264148982283e-06,1.1
1.439264148982283e-06,1.099217267086172,1.439264148982283e-06,1.1
1.459264148982283e-06,1.099217267086101,1.459264148982283e-06,1.1
1.479264148982283e-06,1.099217267086056,1.479264148982283e-06,1.1
1.494637074491141e-06,1.09921726708604,1.494637074491141e-06,1.1
1.51001e-06,1.099217267086035,1.51001e-06,1.1
1.510012008193196e-06,1.095604177539025,1.510012008193196e-06,1.079918068039825
1.51001349997549e-06,1.09280044800773,1.51001349997549e-06,1.065000245101781
1.510014289779325e-06,1.091292480388347,1.510014289779325e-06,1.057102206748491
1.510015101970224e-06,1.089740192950005,1.510015101970224e-06,1.048980297756647
1.510016125800371e-06,1.087787188492776,1.510016125800371e-06,1.038741996283141
1.510018173460666e-06,1.083892656476283,1.510018173460666e-06,1.018265393336129
1.51002e-06,1.080430576330367,1.51002e-06,1
1.510020163860087e-06,1.080364927674909,1.510020163860087e-06,1
1.510020339807854e-06,1.080297449989971,1.510020339807854e-06,1
1.510020525725999e-06,1.080246993243275,1.510020525725999e-06,1
1.510020745582499e-06,1.080213152262278,1.510020745582499e-06,1
1.510020922611805e-06,1.080200145561824,1.510020922611805e-06,1
1.510021135951895e-06,1.080194061980551,1.510021135951895e-06,1
1.510021429607617e-06,1.080194203919978,1.510021429607617e-06,1
1.510021882237296e-06,1.080202092024519,1.510021882237296e-06,1
1.510022620102629e-06,1.080220270768086,1.510022620102629e-06,1
1.510023820036888e-06,1.080251356307345,1.510023820036888e-06,1
1.510025938471707e-06,1.080305145936369,1.510025938471707e-06,1
1.510030175341344e-06,1.080411055824277,1.510030175341344e-06,1
1.510038649080619e-06,1.080620090881871,1.510038649080619e-06,1
1.510055596559168e-06,1.081027668099593,1.510055596559168e-06,1
1.510089491516268e-06,1.081801070252215,1.510089491516268e-06,1
1.510157281430466e-06,1.083185421147177,1.510157281430466e-06,1
1.510275240619315e-06,1.085106016666024,1.510275240619315e-06,1
1.510399275446176e-06,1.086506746583523,1.510399275446176e-06,1
1.510529515350589e-06,1.087364311559273,1.510529515350589e-06,1
1.510670417731619e-06,1.087674463927556,1.510670417731619e-06,1
1.510824598937294e-06,1.087391099997845,1.510824598937294e-06,1
1.510999411411603e-06,1.086429879379119,1.510999411411603e-06,1
1.511188675438344e-06,1.08479183754532,1.511188675438344e-06,1
1.511380496358619e-06,1.082658826529619,1.511380496358619e-06,1
1.511575729762974e-06,1.080142056450636,1.511575729762974e-06,1
1.511776548557108e-06,1.077311334070098,1.511776548557108e-06,1
1.511985850557212e-06,1.074202509981269,1.511985850557212e-06,1
1.512207668729439e-06,1.070817762443075,1.512207668729439e-06,1
1.512446487713861e-06,1.067143812346438,1.512446487713861e-06,1
1.512704893272587e-06,1.063196260345975,1.512704893272587e-06,1
1.51296598215921e-06,1.059282699175554,1.51296598215921e-06,1
1.513232541731488e-06,1.05539857728223,1.513232541731488e-06,1
1.513508258079735e-06,1.051524652182821,1.513508258079735e-06,1
1.513796464364367e-06,1.047650495376988,1.513796464364367e-06,1
1.514102001524077e-06,1.043753564594941,1.514102001524077e-06,1
1.514430516320979e-06,1.03981517948239,1.514430516320979e-06,1
1.514789601829433e-06,1.035813612049329,1.514789601829433e-06,1
