/out X,/out Y
3.405575406960647e-10,2.033031663778729
3.415288610136392e-10,2.033031663774167
3.426701607225922e-10,2.03303166376892
3.439752560841321e-10,2.033031663763123
3.454066061320103e-10,2.033031663757076
3.469375561026359e-10,2.033031663750998
3.485671093035009e-10,2.033031663744947
3.502941085039963e-10,2.033031663738906
3.519209949643897e-10,2.033031663733475
3.534676786357657e-10,2.033031663728562
3.551899378396078e-10,2.033031663723494
3.568013160407759e-10,2.033031663719226
3.581763585957885e-10,2.033031663715973
3.593368179348712e-10,2.033031663713504
3.604049772187632e-10,2.033031663711443
3.615932166260467e-10,2.033031663709373
3.630809271917809e-10,2.033031663707085
3.645430625974387e-10,2.033031663704449
3.658461411856909e-10,2.033031663703004
3.672901039433397e-10,2.033031663701626
3.69218284577403e-10,2.033031663700104
3.710663356227865e-10,2.033031663698941
3.725507538571718e-10,2.033031663698192
3.738369383904182e-10,2.03303166369766
3.753284485439442e-10,2.033031663697163
3.768362266963941e-10,2.033031663696778
3.779927907417954e-10,2.033031663696554
3.792091545959464e-10,2.033031663696379
3.807549624725337e-10,2.033031663696236
3.824954342932287e-10,2.033031663696165
3.839626350646997e-10,2.033031663696174
3.85038057226009e-10,2.033031663696217
3.859516212147042e-10,2.033031663696276
3.870679100652725e-10,2.033031663696373
3.887397637243373e-10,2.03303166369656
3.901191215427492e-10,2.033031663696752
3.915960526849122e-10,2.033031663696995
3.930753136658803e-10,2.033031663697272
3.9443804015818e-10,2.033031663697556
3.957521092851664e-10,2.033031663697857
3.970650022782964e-10,2.033031663698183
3.983963598842771e-10,2.033031663698539
3.997565873004166e-10,2.033031663698923
4.011452891824719e-10,2.03303166369934
4.025590290447673e-10,2.033031663699792
4.039951569138815e-10,2.033031663700275
4.053223319461997e-10,2.033031663700745
4.067186128759174e-10,2.033031663701264
4.082059108248309e-10,2.033031663701846
4.09709314655239e-10,2.033031663702466
4.112245483076697e-10,2.033031663703125
4.126874694853874e-10,2.033031663703793
4.140820327229585e-10,2.033031663704461
4.155186485779184e-10,2.03303166370518
4.169848761711697e-10,2.033031663705948
4.184753847000394e-10,2.033031663706763
4.195338406076552e-10,2.033031663707362
4.209279020848897e-10,2.033031663708177
4.223956944732008e-10,2.033031663709067
4.23821451135945e-10,2.033031663709959
4.252440120915129e-10,2.033031663710874
4.266008459292645e-10,2.033031663711769
4.277180254028066e-10,2.033031663712524
4.287216121820827e-10,2.033031663713215
4.297901619061441e-10,2.033031663713962
4.309322390622903e-10,2.033031663714773
4.320542874540614e-10,2.033031663715581
4.332106154939141e-10,2.033031663716427
4.343122735420925e-10,2.033031663717245
4.35333604767744e-10,2.033031663718011
4.362794799145607e-10,2.033031663718732
4.371580962446721e-10,2.033031663719407
4.379867539734609e-10,2.033031663720052
4.387967943740961e-10,2.033031663720688
4.39652725766417e-10,2.033031663721367
4.407670185059444e-10,2.03303166372226
4.417767998086367e-10,2.033031663723077
4.426297381794446e-10,2.033031663723776
4.434615442038273e-10,2.033031663724463
4.443922796433627e-10,2.033031663725236
4.454485265606297e-10,2.033031663726124
4.466077599672666e-10,2.033031663727107
4.476896690528685e-10,2.033031663728033
4.486251655657074e-10,2.033031663728839
4.494470051010688e-10,2.03303166372955
4.501114704014907e-10,2.033031663730124
4.506741426996356e-10,2.033031663730615
4.511995120163284e-10,2.033031663731074
4.517340973982817e-10,2.033031663731542
4.523271116005058e-10,2.033031663732062
4.529178793286912e-10,2.03303166373258
4.535295689897845e-10,2.033031663733118
4.541664827963984e-10,2.033031663733679
